Alpha-3 code,English short name,License
AFG,Afghanistan,Public domain
ALA,Åland Islands,Public domain
ALB,Albania,Public domain
DZA,Algeria,Public domain
ASM,American Samoa,Public domain
AND,Andorra,Public domain
AGO,Angola,Public domain
AIA,Anguilla,Public domain
ATG,Antigua and Barbuda,Public domain
ARG,Argentina,Public domain
ARM,Armenia,Public domain
ABW,Aruba,Public domain
AUS,Australia,Public domain
AUT,Austria,Public domain
AZE,Azerbaijan,Public domain
BHS,Bahamas,Public domain
BHR,Bahrain,Public domain
BGD,Bangladesh,Public domain
BRB,Barbados,Public domain
BLR,Belarus,Public domain
BEL,Belgium,Public domain
BLZ,Belize,Public domain
BEN,Benin,Public domain
BMU,Bermuda,Public domain
BTN,Bhutan,Public domain
BOL,Bolivia (Plurinational State of),Public domain
BES,Bonaire - Sint Eustatius and Saba,Public domain
BIH,Bosnia and Herzegovina,Public domain
BWA,Botswana,Public domain
BRA,Brazil,Public domain
IOT,British Indian Ocean Territory,Public domain
BRN,Brunei Darussalam,Public domain
BGR,Bulgaria,Public domain
BFA,Burkina Faso,Public domain
BDI,Burundi,Public domain
CPV,Cabo Verde,Public domain
KHM,Cambodia,Public domain
CMR,Cameroon,Public domain
CAN,Canada,Public domain
CYM,Cayman Islands,Public domain
CAF,Central African Republic,Public domain
TCD,Chad,Public domain
CHL,Chile,Public domain
CHN,China,Public domain
CXR,Christmas Island,Public domain
CCK,Cocos (Keeling) Islands,Public domain
COL,Colombia,Public domain
COM,Comoros,Public domain
COG,Congo,Public domain
COD,Congo - Democratic Republic of the,Public domain
COK,Cook Islands,Public domain
CRI,Costa Rica,Public domain
CIV,Côte d'Ivoire,Public domain
HRV,Croatia,Public domain
CUB,Cuba,Public domain
CUW,Curaçao,Public domain
CYP,Cyprus,Public domain
CZE,Czechia,Public domain
DNK,Denmark,Public domain
DJI,Djibouti,Public domain
DMA,Dominica,Public domain
DOM,Dominican Republic,Public domain
ECU,Ecuador,Public domain
EGY,Egypt,Public domain
SLV,El Salvador,Public domain
GNQ,Equatorial Guinea,Public domain
ERI,Eritrea,Public domain
EST,Estonia,Public domain
SWZ,Eswatini,Public domain
ETH,Ethiopia,Public domain
FLK,Falkland Islands (Malvinas),Public domain
FRO,Faroe Islands,Public domain
FJI,Fiji,Public domain
FIN,Finland,Public domain
FRA,France,Public domain
PYF,French Polynesia,Public domain
ATF,French Southern Territories,Public domain
GAB,Gabon,Public domain
GMB,Gambia,Public domain
GEO,Georgia,Public domain
DEU,Germany,Public domain
GHA,Ghana,Public domain
GIB,Gibraltar,Public domain
GRC,Greece,Public domain
GRL,Greenland,Public domain
GRD,Grenada,Public domain
GUM,Guam,Public domain
GTM,Guatemala,Public domain
GGY,Guernsey,Public domain
GIN,Guinea,Public domain
GNB,Guinea-Bissau,Public domain
GUY,Guyana,Public domain
HTI,Haiti,Public domain
HMD,Heard Island and McDonald Islands,Public domain
VAT,Holy See,Public domain
HND,Honduras,Public domain
HKG,Hong Kong,Public domain
HUN,Hungary,Public domain
ISL,Iceland,Public domain
IND,India,Public domain
IDN,Indonesia,Public domain
IRN,Iran (Islamic Republic of),Public domain
IRQ,Iraq,Public domain
IRL,Ireland,Public domain
IMN,Isle of Man,Public domain
ISR,Israel,Public domain
ITA,Italy,Public domain
JAM,Jamaica,Public domain
JPN,Japan,Public domain
JEY,Jersey,Public domain
